"","RPpos_933","RPpos_957","eWAT_RPneg_963","RPpos_975","RPpos_981","RPpos_937","RPpos_943","RPpos_947","RPpos_959","RPpos_967","RPpos_979","RPpos_927","RPpos_969","RPpos_973","RPpos_983","RPpos_929","RPpos_965","RPpos_971","RPpos_977","RPpos_985"
"Label","KO_day","KO_day","KO_day","KO_day","KO_day","KO_night","KO_night","KO_night","KO_night","KO_night","KO_night","WT_day","WT_day","WT_day","WT_day","WT_night","WT_night","WT_night","WT_night","WT_night"
"_508.6625_5.068_Rppos","-1.37696289"," 0.11803707"," 1.09528290"," 0.90544229"," 0.01274812","-0.35384030"," 0.30554151","-0.59713468","-0.02187359","-0.15663131"," 0.99245551","-0.50503165","-0.99896774"," 0.99291068"," 0.28545713","-0.38287369"," 1.10485710","-2.93151589"," 0.93017502"," 0.58192440"
"_495.638_5.0464_Rppos","-1.62019630"," 0.04706292"," 1.68972124"," 0.95547700"," 0.01922632","-0.50884298"," 0.17119548","-0.63180029","-0.09187132","-0.18911098"," 1.00862827","-0.55715831","-1.03827987"," 1.06992405","-0.14012204","-0.56770642"," 1.18976246","-2.30558972"," 0.99927772"," 0.50040277"
"_508.3272_5.0706_Rppos","-2.05083435","-0.05821121"," 1.11805387"," 1.12866243","-0.15392041","-0.81108410"," 0.18820902","-1.16070403","-0.25585224","-0.34541512"," 1.16691163","-0.81809006","-1.40526175"," 1.24234634"," 0.26631836","-0.69645454"," 1.40703809","-0.50577428"," 1.15152639"," 0.59253597"
"Phosphatidylcholine lyso 16:1_494.3226_6.5539_Rppos","-0.65836361"," 0.67595594"," 0.35658314","-1.06865455","-0.77421267"," 0.02737065"," 1.91311083"," 0.15746252"," 0.85019770","-0.43381486"," 0.20762177","-1.58766189","-0.45251701","-0.42258159","-1.38389717","-0.46542910"," 0.82261122"," 0.85577119","-0.75955601"," 2.14000352"
"Trimethylammonioacetate_metlin_118.0863_1.2013_Rppos"," 1.18486409"," 0.69897589","-0.73129226","-1.15164299"," 0.81753935"," 0.21610994"," 0.11076888"," 1.33440865"," 0.45716091"," 0.56753284","-0.95195549"," 1.04134527"," 0.66429496","-1.13141168"," 0.08283588","-0.20250903","-1.70131929","-2.25715839"," 0.42268579"," 0.52876666"
"4`-Bromacetanilide_213.9803_1.8165_Rppos","-1.24188907","-0.68306993","-0.36001373","-1.18123259","-0.56814398","-2.22182861"," 0.51092817","-0.28848486","-0.24000857","-0.85319132","-0.03203140"," 1.75803008"," 0.82985853"," 0.04064047"," 1.42957489"," 0.94925794"," 0.02541892"," 1.37201870"," 0.07473104"," 0.67943531"
"Acetochlor OXA_266.1422_4.5107_Rppos"," 0.074568988","-1.961689661"," 1.727238032","-1.322380475","-1.259714906"," 0.645482173"," 0.918730133"," 0.712189732"," 1.867322765"," 0.179838313","-0.027878893"," 0.491757417","-0.024039201","-0.739201742","-0.312025849"," 0.013592610","-1.544336116"," 0.516437423"," 0.009239065"," 0.034870192"
"_480.6287_5.0449_Rppos","-1.35246452"," 0.14366221"," 1.34696478"," 0.86994644"," 0.10902339","-0.35713721"," 0.21668866","-0.53646988","-0.05554852","-0.15090375"," 0.91193887","-0.46760163","-0.87115354"," 0.92294081"," 0.28446799","-0.51564192"," 1.06391739","-2.97238116"," 0.93997679"," 0.46977482"
"_709.4459_5.0345_Rppos","-1.50083787","-0.02293727"," 0.95278831"," 0.70414632","-0.08950534","-0.44550429"," 0.23404645","-0.66083719","-0.09666432","-0.25546389"," 0.77658260","-0.41110142","-0.61634195"," 0.69227537","-2.74159147","-0.54482882"," 0.92125856"," 1.86144836"," 0.76308148"," 0.47998639"
"_480.9633_5.0345_Rppos","-1.69020409"," 0.07170419"," 1.70005911"," 0.96590855"," 0.02850107","-0.50782416"," 0.14669745","-0.87897635","-0.07089998","-0.33823938"," 0.99832978","-0.64556959","-0.94286256"," 1.00151453"," 0.40030850","-0.52673866"," 1.08616853","-2.25007339"," 0.95244381"," 0.49975263"
"_493.6527_5.0598_Rppos","-2.04320376"," 0.00568258"," 1.10842946"," 1.10284726","-0.06530267","-0.81338607"," 0.18980055","-1.10690875","-0.16569789","-0.37450058"," 1.16768656","-0.87189519","-1.45111687"," 1.24739754"," 0.22704517","-0.71756706"," 1.40363201","-0.57218481"," 1.13009728"," 0.59914524"
"_341.1488_1.0264_Rppos","-1.2538349130","-0.0713848375"," 0.0007243166"," 1.1385553214"," 0.4074224232","-0.2110545013"," 0.8478390966"," 0.2026552006","-0.2738381703","-0.2273951587"," 0.3187850872"," 0.6837153105","-2.0324281811"," 1.1924087812","-0.4541998106","-0.0432986981"," 0.6297524667","-2.6024714407"," 0.9072901572"," 0.8407575499"
