,933,957,963,975,981,937,943,947,959,967,979,927,969,973,983,929,965,971,977,985
Label,KO_day,KO_day,KO_day,KO_day,KO_day,KO_night,KO_night,KO_night,KO_night,KO_night,KO_night,WT_day,WT_day,WT_day,WT_day,WT_night,WT_night,WT_night,WT_night,WT_night
sn/369.0244/2.1198/,0.98160096,0.71408535,0.45668218,-0.06262437,0.32857949,0.97560496,0.33303651,0.34029043,0.54558464,0.6527785,0.31121632,0.74033685,0.52947772,0.55307805,0.64299138,-1.4516164,-1.47179869,-1.7840855,-2.23372792,-1.10149048
sn/596.0512/1.2613/,0.7013599,-1.9892215,-2.317178,-0.1874254,-0.8366284,0.7391305,0.2651376,0.8363287,0.4221609,0.6479438,0.7548306,-0.7777739,-0.6246967,-0.9347139,-0.7583044,1.145539,0.6089739,0.7655669,0.5884955,0.950475
sn/304.0686/8.0466/Sertraline,-1.018289062,0.813286327,1.900279742,-0.980736328,-0.201562351,0.005525064,-1.915897583,-0.463588961,-1.185530607,-1.208561906,-0.861474988,0.795453062,-0.134302215,0.523098295,0.640380514,-0.182322779,1.589426152,0.411284048,0.586032066,0.887501509
sn/250.024/7.5599/Fenaminosulf,1.0927608,-0.8748641,-1.0265544,0.7100543,0.533695,0.3797095,1.1165624,0.9914301,0.6529553,0.9366039,0.6851872,-1.8949012,-1.502511,-1.5448474,-1.5563287,0.2208889,0.1449922,0.4506792,0.2846063,0.1998815
sn/203.0839/11.644/Tryptophan_level3,-1.22350862,-1.07646731,-1.63794451,0.40511809,-1.25211508,-0.61186114,-0.36252058,0.07556309,-0.05857192,0.2979107,-0.53387257,-0.5583607,0.66976402,-0.57687096,0.07806986,1.07622954,0.33665781,2.07419476,1.77434358,1.10424194
sn/505.0741/1.2775/,0.3796841,-1.0156127,-1.7679277,-0.6142741,0.2095183,0.6670263,1.2174356,1.2334903,0.5126406,0.9283515,1.2644391,-1.2479628,-1.1001759,-1.4599049,-1.4383017,0.4414043,0.5476691,0.4607535,0.6409612,0.1407857
sn/126.0029/9.6559/,1.39525018,-0.43788196,-0.8781721,1.41505362,0.23855327,0.98342004,0.6290493,0.41836395,0.71005285,1.00917277,1.28247346,-1.54859286,-1.14459045,-1.71964069,-1.42663739,-0.41479629,-0.12479102,0.22432711,-0.6221782,0.01156441
sn/252.0555/2.4716/N-Pyruvoyl-5-methoxy-3-hydroxyanthranilate,0.4407657,0.8546355,-0.6927861,0.9899572,0.8323692,0.4525767,1.1985325,0.8998224,-0.2707032,0.8060485,0.8791858,-1.4373302,-1.8101521,-1.8697019,-0.1241816,0.5006143,-1.4395034,0.1482509,-0.776195,0.4177947
sn/365.1374/9.3158/,0.50765266,0.13917085,0.83930695,1.44547981,0.75645835,0.73429372,-0.24433281,1.54076458,0.69671382,1.41752306,0.08109712,-2.2649811,-1.07255528,-0.94004498,-0.71043238,-0.42618879,-1.10937005,-0.37225755,-0.2404946,-0.77780339
sn/185.0187/1.5171/,0.32908903,-0.21200796,0.45282388,-3.22865708,-0.55192942,-0.70757652,-0.01423745,0.24441295,0.05673997,-0.22227829,0.02693479,1.49849838,1.1296556,1.25196779,0.87264209,-0.27766921,0.33862651,-1.01111544,-0.32996439,0.35404478
